invoice_line_id,invoice_id,quantity,unit_price_input,line_total,tax_regime_flag
1,300006,4,110.92,395.55,
2,300006,5,18.41,82.46,
3,300006,6,7.67,43.86,
4,300006,5,429.66,2005.99,
5,300006,3,81.56,230.91,
6,300006,4,30.36,108.36,
7,300006,3,84.94,241.49,
8,300006,3,41.13,109.44,
9,300006,4,19.12,65.38,
10,300006,3,56.36,147.62,
11,300009,3,382.20,799.78,
12,300009,2,251.52,409.75,
13,300009,3,12.18,28.23,
14,300009,5,433.86,1519.28,
15,300010,3,47.43,116.08,
16,300010,4,302.40,980.19,
17,300010,3,104.64,243.81,
18,300010,3,491.64,1179.17,
19,300010,1,112.10,87.33,
20,300010,3,70.81,175.85,
21,300010,3,12.85,32.64,
22,300010,4,7.79,25.38,
23,300010,5,411.60,1656.92,
24,300010,3,197.42,464.13,
25,300010,3,58.32,142.06,
26,300010,2,64.29,103.63,
27,300010,3,152.30,381.86,
28,300014,2,7.50,12.44,
29,300014,3,57.34,144.84,
30,300014,4,302.40,995.17,
31,300014,2,35.24,59.75,
32,300023,3,97.92,228.72,
33,300023,6,8.47,36.65,
34,300023,3,11.56,25.91,
35,300023,5,222.43,781.81,
36,300023,1,22.10,16.33,
37,300023,5,397.32,1488.41,
38,300023,4,8.74,27.77,
39,300026,3,16.31,41.98,
40,300026,2,44.10,72.24,
41,300026,4,416.22,1327.66,
42,300027,4,80.54,257.74,
43,300027,2,471.24,789.41,
44,300027,1,76.30,64.16,
45,300027,1,7.88,6.67,
46,300027,1,439.32,368.45,
47,300027,6,171.07,831.50,
48,300027,4,135.43,444.14,
49,300029,4,154.28,566.94,
50,300029,8,62.59,443.98,
51,300029,5,172.30,818.35,
52,300031,6,256.32,1189.94,
53,300031,2,137.81,213.12,
54,300031,4,341.15,1045.33,
55,300031,4,308.07,1044.91,
56,300031,1,473.28,348.19,
57,300032,9,412.02,2779.24,
58,300032,3,18.94,50.53,
59,300032,4,61.49,187.97,
60,300032,4,143.22,505.62,
61,300032,3,209.72,472.39,
62,300032,8,46.08,295.41,
63,300032,8,178.11,1144.41,
64,300032,8,63.50,398.17,
65,300032,3,26.16,64.68,
66,300032,4,210.13,681.69,
67,300032,4,127.78,371.96,
68,300032,2,13.53,21.93,
69,300032,5,17.24 EGP,69.26,
70,300034,5,18.27,77.94,
71,300034,10,140.32,1258.51,
72,300034,3,12.46,31.55,
73,300034,5,19.17,92.22,
74,300034,5,81.25 EGP,369.23,
75,300034,4,502.86,1665.21,
76,300038,4,471.75,1379.90,
77,300038,3,8.36,20.43,
78,300038,4,129.21,379.19,
79,300038,4,110.57,322.96,
80,300038,4,112.45,341.86,
81,300038,4,142.12,441.71,
82,300038,4,259.92,742.99,
83,300038,2,152.61,228.35,
84,300045,2,199.88,355.33,
85,300045,5,7.70,34.69,
86,300045,4,91.78,344.98,
87,300045,4,222.84,829.05,
88,300045,4,18.07,63.87,
89,300045,4,66.12,236.11,
90,300045,7,131.47,802.29,
91,300045,5,98.50,449.42,
92,300048,5,81.48,376.92,
93,300048,5,127.20,580.34,
94,300048,7,76.07,450.30,
95,300048,4,49.01,183.46,
96,300048,3,114.70,304.04,
97,300048,6,58.80 EGP,307.46,
98,300048,2,228.24,403.07,
99,300051,4,222.00,688.46,
