doc_no,qty,unit_price,line_value,vat_flag
300001,3,445.20,1174.72,
300001,5,292.01,1306.89,
300001,4,13.19,47.07,
300002,5,230.16,933.78,
300002,3,164.38,422.56,
300002,3,11.54,27.21,
300002,3,299.88,734.09,
300002,3,57.77,144.70,
300002,2,542.13,871.44,
300002,3,8.34,20.23,
300002,4,165.09,541.36,
300002,4,164.31,525.92,
300002,3,66.00,161.14,
300002,4,25.51,81.71,
300003,1,530.91,490.18,
300003,4,8.00,27.19,
300003,3,13.46,35.14,
300003,2,60.88,109.35,
300003,3,321.93,856.42,
300003,3,140.32,378.47,
300003,4,298.94,1083.36,
300003,4,295.47,1006.71,
300003,5,460.32,2094.37,
300003,4,103.20,395.32,
300003,7,229.68,1378.20,
300003,4,101.76,384.22,
300003,3,543.15,1373.42,
300004,4,155.65,520.74,
300004,3,8.70,24.20,
300004,5,140.84,609.28,
300004,5,414.12,1784.90,
300004,4,233.76,802.81,
300004,5,12.44,52.77,
300004,3,7.22,18.89,
300004,5,17.17,70.50,
300007,4,110.92,408.15,
300007,5,18.41,82.43,
300007,6,7.67,41.41,
300007,5,429.66,2056.21,
300007,3,81.56,229.45,
300007,4,30.36,115.09,
300007,3,84.94,228.39,
300007,3,41.13,117.43,
300007,4,19.12,68.14,
300007,3,56.36,143.26,
300009,2,48.06,86.21,
300009,5,19.17,85.82,
300011,5,126.02,491.33,
300011,3,74.73,191.82,
300011,3,162.45,326.72,
300011,4,13.61,42.87,
300011,4,82.97,269.68,
300012,3,47.43,115.83,
300012,4,302.40,969.82,
300012,3,104.64,249.99,
300012,3,491.64,1124.87,
300012,1,112.10,88.05,
300012,3,70.81,162.51,
300012,3,12.85,31.37,
300012,4,7.79,25.95,
300012,5,411.60,1647.39,
300012,3,197.42,468.54,
300012,3,58.32,134.66,
300012,2,64.29,102.60,
300012,3,152.30,361.85,
300014,2,112.81,197.65,
300014,3,17.15,42.53,
300015,4,107.38,357.20,
300015,2,162.34,284.42,
300015,4,312.48,963.33,
300015,4,11.91,39.86,
300015,2,144.41,264.52,
300015,3,157.62,405.12,
300015,2,169.66,320.15,
300015,2,7.74,13.52,
300015,7,42.03,264.59,
300015,6,17.84,95.14,
300018,3,126.32,297.70,
300018,4,84.54,262.75,
300018,5,45.99,156.74,
300018,4,559.47,1739.32,
300019,5,440.58,1855.91,
300019,6,143.22,791.86,
300020,2,260.16,391.60,
300020,5,7.30,30.38,
300020,2,12.08,16.59,
300020,5,16.99,61.16,
300020,4,310.59,936.57,
300020,2,8.63,13.32,
300020,5,528.87,1973.24,
300025,3,7.85,22.46,
300025,7,189.20,1295.38,
300025,3,470.73,1238.60,
300025,3,78.58,214.93,
300026,4,313.74,916.49,
300026,1,79.21,61.35,
300026,2,121.07,171.47,
300026,5,11.69,44.07,
300026,2,57.77,81.85,
300026,8,158.93,837.40,
300026,4,17.28,59.76,
300026,4,35.97,100.22,
300026,4,79.99,246.48,
300026,7,383.04,2014.00,
300026,3,72.30,154.21,
300028,4,80.54,259.99,
