invoice_id,customer_id,placed_at_utc,delivery_slot,grand_total,paid_total,declared_items,campaign_ref,order_status
300005,1056,2024-09-03T06:40:28Z,,1703.26,,5,NONE,shipped
300006,1079,2024-09-27T12:41:19Z,,4886.28,4886.28,6,RAMADAN-BUNDLE,paid
300008,1226,2024-09-18T08:59:30Z,,3514.0,,4,NONE,pending_hold
300010,1228,2024-09-04T06:22:43Z,,2891.99,2891.99,4,NONE,paid
300016,1364,2024-09-22T06:26:11Z,,2498.21,,8,NONE,paid
300017,1366,2024-09-20T07:54:22Z,,1607.25,,3,NONE,shipped
300021,1421,2024-09-16T06:02:40Z,,2473.56,2473.56,4,NONE,pending_hold
300022,1433,2024-09-12T13:11:42Z,,3777.41,3777.41,2,WINTER-FLYER,paid
300024,1449,2024-09-17T14:34:46Z,,3072.22,3072.22,7,LUX-R6,paid
300032,1490,2024-09-20T11:01:05Z,,4324.97,,5,NONE,paid
300038,1562,2024-09-07T13:29:43Z,,2840.36,2840.36,7,WINTER-FLYER,paid
300044,1591,2024-09-19T12:58:25Z,,11195.35,11195.35,15,RAMADAN-BUNDLE,paid
300047,1629,2024-09-28T09:13:28Z,,2955.77,2955.77,8,LUX-R6,paid
300050,1702,2024-09-10T08:06:18Z,,2517.82,,7,LUX-R6,paid
300051,1708,2024-09-16T06:52:58Z,,3619.98,,10,RAMADAN-BUNDLE,pending_hold
300053,1708,2024-09-01T18:52:48Z,,4375.79,,3,,canceled
300058,1856,2024-09-13T10:30:48Z,,2188.32,,8,NONE,canceled
300060,1914,2024-09-21T10:40:46Z,,1658.29,1658.29,2,RAMADAN-BUNDLE,paid
300064,2016,2024-09-12T06:30:41Z,,3206.11,,7,WINTER-FLYER,paid
300067,2026,2024-09-11T09:49:59Z,,3229.93,3229.93,6,,paid
300068,2026,2024-09-14T17:18:55Z,,2452.72,,6,WINTER-FLYER,canceled
300071,2032,2024-09-14T06:04:45Z,,4099.1,,8,RAMADAN-BUNDLE,paid
300085,2229,2024-09-09T13:13:42Z,,4201.97,,10,LUX-R6,canceled
300086,2232,2024-09-09T12:23:41Z,,4718.17,4718.17,11,WINTER-FLYER,canceled
300087,2240,2024-09-19T12:07:55Z,,3138.63,3138.63,8,LUX-R6,pending_hold
