invoice_no,account_name_raw,branch_code,entry_date_text,entry_time,account_address,governorate,area,gross_value,total_discount,total_after_discount,stated_line_count,record_state
300007,Ph/Sunrise Main Road,710,15092024,10:18:28,,,,3949.33,536.36,3412.97,4,CLSD
300012,Ph/EBN SINA MARG,720,01092024,12:02:33,ASH/136,,,6681.83,701.18,5980.65,7,CLSD
300016,Ph/El Baraka (2),731,26092024,08:46:45,,Alexandria,Agami,2913.35,382.47,2530.88,8,
300021,el EL TOURATH OCT CITY 6ht Znoe,748,12092024,15:11:42,,,,4715.54,504.30,4211.24,2,
300030,miraa marg (2),757,01092024,12:18:49,Heliopolis 18 Geish,,,5443.01,1405.87,4037.14,11,CLSD
300033,Ph/DR MEDHAT HELWANMall,720,14092024,15:27:42,,,,3981.76,384.70,3597.06,7,
300036,EL el tourth,705,23-Sep-2024,08:05:02,Maadi 115 Abbas,,,6747.33,1384.91,5362.42,10,CLSD
300039,el SUNRISE HARAMBranch 2,741,10092024,10:19:20,"Mustafa Nahhas 29, MAD zone",Alexandria,Borg El Arab,3703.59,611.30,3092.29,8,CLSD
300046,ElH okama Main Road,769,23092024,11:22:01,,,,1426.20,172.42,1253.78,3,CLSD
300047,Ph/Misr Main Road,733,11092024,15:47:46,,,,5303.19,845.94,4457.25,9,
300056,EL El Nasr 04,724,23092024,12:27:19,blk 14 - NC - hospital,,,2546.55,352.54,2194.01,8,CLSD
300064,Hope Dokki br.2,729,01092024,13:51:43,6th o fOctober 41 Faisal,Giza,6th of October,4092.42,391.77,3700.65,4,
300068,EL  El Zarhaa,729,23092024,14:05:59,,,,8369.58,797.61,7571.97,11,CLSD
300077,PH Haelth Gate Obour 011,700,28092024,14:18:06,Boulak Dakrour 212 aHram,,,6661.55,1291.15,5370.40,10,CLSD
300082,EL blue wave dokki Station St.911,740,17092024,09:43:55,"Gamet Dewal 220, DKK zone",,,2412.17,345.08,2067.09,4,
300097,city care rehab view,762,21092024,08:43:02,,,,3877.43,486.70,3390.73,4,CLSD
300119,El Zahra BBranch 1,759,28092024,09:31:34,,,,11209.61,2962.55,8247.06,12,
300121,Health Gate Maadi 04,751,23092024,10:51:36,,,,2502.02,667.22,1834.80,7,CLSD
300125,BLUE WAVE WH-186,708,10092024,09:26:51,,,,2755.26,625.93,2129.33,3,CLSD
300132,EL EL NASR MARG 011,708,25102024,09:56:53,,,,5512.71,1389.20,4123.51,12,CLSD
300134,AL NOZHA AGAMI (2),707,24102024,14:00:32,,,,6841.35,1162.14,5679.21,6,CLSD
300150,el ELITE AGAMI (2),724,08102024,11:35:01,,,,2224.88,264.21,1960.67,5,
300157,Mira Marg Mall266,736,08102024,11:37:20,,,,3103.14,547.09,2556.05,2,
300158,PY/Better Life Ain 011,711,27102024,14:13:08,,,,10612.37,2239.61,8372.76,15,CLSD
