alias_id,account_name,branch_id,supplier_code
A50001,El-MISR SMOUHA Branch 1,749,1
A50002,MISR SMOHUA (2),749,1
A50003,PH misr smouah Station St.,752,1
A50004,el Misr Smouha Station St.,752,1
A50005,EL MISR SMOUHA br.2,763,1
A50006,Misr Smoouha 011,768,1
A50007,el Misr Smouha,768,1
A50008,El Nar-A,716,1
A50009,PH EL NASR,724,1
A50010,Ph/el nasr Mall,724,1
A50011,El-el nasr Main Road,747,1
A50012,el nasr,761,1
A50013,el El Nasr,777,1
A50014,silver care marg Branch 2602,747,2
A50015,PH Silver Care Marg Main Road,747,2
A50016,El-Silver Care Marg Branch 1392,752,2
A50017,silver care marg Branch 1,758,1
A50018,SILVER CARE MARG-A,758,1
A50019,PH el nasr obour,707,1
A50020,EL NASR OBOUR,711,1
A50021,el El NasrObour,711,1
A50022,el EL NASR OBOUR Main Road963,721,1
A50023,El Nasr Obour 04,725,1
A50024,PY/El Nasr Obour Station St.788,735,1
A50025,ELNASR OBOUR,735,1
A50026,EL NASR OBOUR279,738,1
A50027,El-El Nasr Obour,738,1
A50028,EL NASR OBOUR 04,744,1
A50029,El Nasr Obour 6th Zone,744,1
A50030,el el nasr obour 011,774,1
A50031,EL EL NASR OBOUR Main Road,774,1
A50032,Ph/nile cre zayed,710,1
A50033,Ph/NILE CARE ZAYED Station St.94,710,1
A50034,Ph/nile care zayed186,719,1
A50035,PY/NILE CARE ZAYED Branch 1,719,1
A50036,PY/Nile Care Zayed Branch 1661,735,2
A50037,El-NILE CARE ZAYED,738,2
A50038,PH Nile Care Zayed,738,2
A50039,El-Salamtek,724,2
A50040,PH salamtek,748,1
A50041,Salamtek 6th Zone,748,1
A50042,PH Salamtek Branch 2,767,1
A50043,salamtek 011,767,1
A50044,Salamtek 011,768,2
A50045,Blue Wave StationSt.,719,2
A50046,Ph/Blue Wave,719,2
A50047,PY/Blue Wave,732,1
A50048,el Blue Wave Mall,732,1
A50049,EL Ble Wave 04,740,1
A50050,Blue Wave Branch 2,740,1
A50051,blue wave Station St.,752,3
A50052,PH Alpha Pharma Zayd Branch 2,702,1
A50053,PH Alpha Pharma Zayed 04,711,2
A50054,PH Alpha Pharma Zayed,720,1
A50055,EL Alpha Pharma Zayed 6th Zone,734,1
A50056,Alpha Pharma Zayed 04172,734,1
A50057,el alpha pharma zayed Branch 1,756,1
A50058,ALPHA PHARMA ZAYED Branch 2,756,1
A50059,Alpha Pharma Zayed br.2,773,1
A50060,El-Metro 04,706,1
A50061,Metro,711,3
A50062,METRO br.2,720,2
A50063,Ph/Metro Branch 2,733,1
A50064,PY/merto 6th Zone,733,1
A50065,El-Metro,755,1
A50066,Sunrise Agami 04933,706,2
A50067,Sunrie Agami-A,706,2
A50068,SUNRISE AGAMI 011,713,1
A50069,EL Sunrise Agami Branch 2,713,1
A50070,el Sunrise Agami (2),754,1
A50071,Sunrise Agami 04,762,1
A50072,el SUNRISE AGAMI (2),762,1
A50073,el Better Life Obour,702,2
A50074,Better Life Obour,702,2
