branch_id,parent_company,branch_tag,governorate,area,min_order_value_egp,payment_terms_days,standard_discount_pct,fill_rate_gap_pct,merged_into_branch_id
700,Al-Nour Pharmaceutical Distribution,A700,Cairo,Nasr City,2500.0,30,25.7,3.3,
701,Al-Nour Pharmaceutical Distribution,B701,Giza,Faisal,2250.0,30,25.7,3.3,
702,Blue Crescent Medical Supply Co.,A702,Giza,Faisal,4500.0,15,8.6,3.1,
703,Blue Crescent Medical Supply Co.,B703,Giza,Faisal,4410.0,15,8.6,3.1,
704,Blue Crescent Medical Supply Co.,C704,Cairo,Nasr City,5310.0,15,8.6,3.1,
705,Nile Med Wholesale,A705,Giza,Faisal,3500.0,45,12.4,5.6,
706,Tiba Distribution Group,A706,Cairo,Nasr City,2000.0,7,17.8,6.5,
707,Tiba Distribution Group,B707,Alexandria,Smouha,2200.0,7,17.8,6.5,
708,Tiba Distribution Group,C708,Giza,Faisal,2060.0,7,17.8,6.5,
709,Horus Pharm Agencies,A709,Alexandria,Smouha,3000.0,7,19.1,1.6,
710,El-Masria Trading Co.,A710,Giza,Mohandessin,2000.0,45,14.0,3.9,
711,El-Masria Trading Co.,B711,Alexandria,Smouha,2120.0,45,14.0,3.9,
712,El-Masria Trading Co.,C712,Giza,Mohandessin,2300.0,45,14.0,3.9,
713,Delta Union Agencies,A713,Alexandria,Smouha,3000.0,0,18.3,7.0,
714,Cairo Grand Supplies,A714,Cairo,Nasr City,3000.0,45,14.9,3.1,
715,Lotus Medcare Distribution,A715,Cairo,Nasr City,2500.0,45,17.6,3.2,
716,Lotus Medcare Distribution,B716,Giza,Faisal,2300.0,45,17.6,3.2,
717,Saraya Pharmaceutical Supply,A717,Giza,Mohandessin,4500.0,7,23.5,3.9,
718,Saraya Pharmaceutical Supply,B718,Alexandria,Smouha,4770.0,7,23.5,3.9,
719,Ramses Wholesale Partners,A719,Alexandria,Smouha,3000.0,0,8.3,0.7,
720,White Nile Agencies,A720,Alexandria,Smouha,3500.0,0,25.7,2.1,
721,White Nile Agencies,B721,Cairo,Nasr City,3570.0,0,25.7,2.1,
722,White Nile Agencies,C722,Cairo,Nasr City,3745.0,0,25.7,2.1,
723,Delta Star Medical Trade,A723,Alexandria,Smouha,3500.0,45,12.9,5.7,
724,Pyramid Health Supplies,A724,Alexandria,Smouha,2000.0,0,13.4,7.0,
725,Modern Chain Distributors,A725,Giza,Faisal,3000.0,0,9.4,5.6,
726,Modern Chain Distributors,B726,Alexandria,Smouha,2580.0,0,9.4,5.6,
727,United Bazaar Pharma,A727,Alexandria,Smouha,4500.0,15,10.9,6.3,
728,United Bazaar Pharma,B728,Giza,Faisal,5130.0,15,10.9,6.3,
729,Sinai Bridge Trading,A729,Giza,Mohandessin,3000.0,30,21.4,0.5,
730,Sinai Bridge Trading,B730,Giza,Faisal,2790.0,30,21.4,0.5,
731,Green Delta Enterprises,A731,Giza,Faisal,2000.0,45,12.4,9.4,
732,Green Delta Enterprises,B732,Cairo,Nasr City,1840.0,45,12.4,9.4,
733,Green Delta Enterprises,C733,Alexandria,Smouha,2020.0,45,12.4,9.4,
734,Horus Elite Logistics,A734,Alexandria,Smouha,4500.0,30,16.6,4.5,
735,Horus Elite Logistics,B735,Giza,Mohandessin,5085.0,30,16.6,4.5,
736,Southern Cross Pharma,A736,Cairo,Nasr City,2500.0,7,20.3,4.2,
