invoice_no,account_name,branch_code,entry_date,entry_time,account_address,governorate,area,gross_value,total_discount,total_after_discount,line_count,record_state
300013,el Ebn Siina Marg,722,01092024,12:02:33,Smouha 201  Autostrad,,,6681.83,1629.96,5051.87,7,CLSD
300023,MIRA OBOUR475 WH-84,721,22092024,16:17:24,"155 Port Said st., near square, NSC",,,3896.34,1014.70,2881.64,9,CLSD
300027,PH Angel Dokki Main Road,712,24092024,09:05:41,Nasr Cit 32 Faisal,,,1802.01,280.84,1521.17,3,
300034,EL DR WH-95,722,14092024,15:27:42,"202 Salah Salem st., near park, NSC",,,3981.76,938.16,3043.60,7,CLSD
300045,El-AL NOZHA,774,24092024,10:57:19,,,,8565.72,1986.97,6578.75,10,
300046,SALAMTEK NASR Sattoin St.,731,09092024,20:18:27,,,,2133.28,228.42,1904.86,7,CLSD
300054,PH snrise nasr 6th Zone,754,08092024,15:26:16,NSC/92,,,4114.60,833.08,3281.52,5,
300059,El-Golden Care Faisal (2),715,27092024,09:01:32,,,,8709.69,1409.92,7299.77,10,CLSD
300061,PY/Mira Faisal,711,07092024,14:17:03,,,,2874.31,400.58,2473.73,6,CLSD
300063,el Dr Medhat Nozha Branch 2759,766,09092024,21:59:37,,,,2952.99,162.09,2790.90,9,
300070,El Zahraa 04,741,05092024,14:23:18,,,,8369.58,1963.78,6405.80,11,
300088,El Zahraa 6th Zone,700,08092024,11:09:03,,Giza,Faisal,1844.92,441.78,1403.14,6,CLSD
300090,el Star Care Square Brnch 1,761,09092024,15:41:31,blk 20 - FSL - hospital,,,3412.24,666.48,2745.76,5,
300097,el ebn sina br.2519,760,16092024,14:07:14,,,,2392.69,474.77,1917.92,5,CLSD
300100,PY/City Care Rehab View Branch 2,777,25092024,14:46:59,Mohandessin 1144 Salah Salem,,,2279.87,280.25,1999.62,7,CLSD
300106,AL AMAL WH-167,776,03092024,10:59:10,,,,2785.18,270.65,2514.53,4,CLSD
300107,El Nasr Shubra br.285,777,01092024,13:57:31,"Mustafa Nahhas 197, MHS zone",,,4154.82,440.34,3714.48,10,
300122,PY/Mira Mohandessin (2)462,777,17-Sep-2024,21:07:32,,,,6371.27,702.45,5668.82,8,
300125,PY/Al Nozha Smouha,730,10092024,09:55:14,,Giza,Faisal,1526.02,263.32,1262.70,2,
300126,el health gate maadi Branch 2,766,24092024,10:34:48,,,,2502.02,250.44,2251.58,7,CLSD
300132,el Life Line,706,24092024,14:11:27,Mohandessin2  Gamet Dewal,,,3556.06,556.21,2999.85,7,
300136,PY/CARE 24 SEVENMain Road953,708,21-Oct-2024,08:58:41,,Alexandria,Smouha,1559.58,244.26,1315.32,4,CLSD
300138,El Zahraa Smouha br.2,761,22102024,13:00:30,"202 Horreya st., near hospital, SMH",,,11099.12,2361.64,8737.48,13,
300140,PY/BLUE WAVE REHAB VIEW,735,08-Oct-2024,10:25:21,,,,3304.28,474.35,2829.93,6,CLSD
300151,El-El Tourah Smouha,744,17102024,08:10:47,,,,6767.05,704.78,6062.27,12,
300157,El-misr dkki Station St.,735,09102024,08:30:44,,,,9176.71,1396.38,7780.33,11,CLSD
300159,ELITE AGAMI,746,04102024,11:15:47,,,,2224.88,268.41,1956.47,5,
300166,MIRA MARG,752,17102024,16:16:19,,,,1585.92,299.21,1286.71,6,
300167,HEALTH GATE SHUBRA (2),765,09102024,12:37:55,,,,1510.86,177.84,1333.02,4,CLSD
300197,blue wave br.2,750,19102024,14:47:26,blk 2 - NSC - school,,,3361.29,453.57,2907.72,5,
300205,PY/EL BARAKA NASR,746,13102024,14:52:30,,,,3389.90,437.23,2952.67,7,
300209,Elite,705,15102024,13:52:24,"Faisal 115, NSC zone",,,2509.12,303.31,2205.81,5,CLSD
300210,E-Elite 04,720,03102024,13:59:17,,Alexandria,Smouha,3592.83,889.77,2703.06,9,
300214,Family Shubra Branch 1,737,04102024,15:12:17,Nasr City 1163 Industrial Zone,,,3102.70,449.68,2653.02,5,CLSD
300219,El-Green Leaf 6t hZone,706,24102024,11:56:18,blk 21 - NSC - market,,,8212.77,1420.90,6791.87,12,CLSD
300226,Seha FirstN asr 011,728,13102024,14:45:14,"Faisal 208, NSC zone",,,4471.15,470.05,4001.10,8,CLSD
300237,City Care Nasr 011,712,16102024,10:57:38,"Industrial Zone 105, NSC zone",,,4234.78,590.40,3644.38,8,CLSD
300240,PY/MISR761 WH-301,770,28102024,10:22:39,,,,2770.15,198.36,2571.79,6,
300248,PY/SUNRISE NASR702,777,22102024,19:49:38,,,,3351.91,283.56,3068.35,4,
300249,Golden Care MMarg Main Road,740,19-Oct-2024,08:34:16,"Sudan 237, NSC zone",,,4045.88,954.27,3091.61,8,CLSD
300252,EL Health Gate Nasr,733,22102024,14:50:59,,,,3896.90,682.05,3214.85,5,
300253,PH Health Gate Nasr Branch 1,763,26102024,11:14:15,,,,7288.27,1514.78,5773.49,11,
300257,PHH Care 24 Seven Square,705,15102024,12:39:21,"Tahrir 201, NSC zone",Cairo,Nasr City,1690.59,275.58,1415.01,3,
300261,El Shifa,742,27102024,11:32:46,,,,4352.96,1030.16,3322.80,8,CLSD
300268,PY/Seha First Agami,726,24102024,15:54:43,Faisal 201 9t hDistrict,,,7509.17,809.75,6699.42,15,CLSD
300270,Ph/ebn sina fasal-A181,772,26102024,12:56:37,"Horreya 10, FSL zone",,,5782.08,607.82,5174.26,10,CLSD
300274,el Dr Medhat Nozha,708,13102024,15:45:03,"Sudan 195, FSL zone",Giza,Mohandessin,1577.68,258.68,1319.00,5,
300275,Ph/Dr Medhat Nozha,700,17102024,11:45:36,,Giza,Faisal,2372.47,635.74,1736.73,6,
300278,PY/family Mall,747,22-Oct-2024,12:06:15,,,,2091.36,460.73,1630.63,2,
300279,SEHA FIRST FAISAL 011,734,24102024,09:40:50,,,,4822.22,848.28,3973.94,5,
300285,El-el hokama Branch 1,749,28102024,10:31:38,,,,5732.53,1075.58,4656.95,5,
300293,Siver Care-A,773,16102024,14:37:43,,,,3169.18,756.26,2412.92,6,CLSD
300296,el Star Care Faisal (2),709,12-Oct-2024,10:11:59,FSL/87,,,3425.82,697.03,2728.79,7,
300303,salamtek faisal Station St.,768,16102024,13:28:41,FSL/48,,,4227.06,500.84,3726.22,10,CLSD
300321,El-tar Care Faisal br.2,726,18102024,08:16:36,Faisal 117 Industrial ZZone,,,6064.75,446.40,5618.35,9,
300328,El-El Baraka Faisal 6th Zone,737,16102024,20:46:44,FSL/102,Giza,Faisal,3235.80,603.54,2632.26,9,
300331,EL SILVER WH-392,767,26102024,10:03:38,,,,2932.68,415.43,2517.25,4,CLSD
300350,Ph/Ebn Sina 6th Zone,766,26102024,14:55:22,"58 Gamet Dewal st., near market, MHS",Giza,Mohandessin,4960.56,361.71,4598.85,8,
300363,Seha First 04,744,01102024,13:37:03,,,,2853.50,257.16,2596.34,4,
300364,EL DR MEDHAT OCT CITY br.2654,726,02102024,08:06:30,,,,4916.07,620.51,4295.56,4,
300367,El-Angel Mohandessin (2),707,24102024,09:11:14,Mhoandessin 20 Horreya,Giza,Mohandessin,4746.70,818.10,3928.60,11,
300370,PY/dr emdhat,776,24102024,08:17:52,Mohandessin 30 HHorreya,,,1799.41,237.57,1561.84,7,
300374,el El Zahraa (2),701,09102024,16:56:35,,,,3664.29,1013.18,2651.11,9,
