doc_no,account_ref,doc_date_text,doc_time,doc_type,junk_note,stated_lines
300001,P:1019,15/09/2024,09:24,INV,,3
300002,P:1019,03/09/2024,13:18,INV,,11
300003,P:1026,05/09/2024,15:37,INV,,13
300004,P:1029,07/09/2024,09:18,INV,,8
300007,P:1206,19/09/2024,08:17,INV,,10
300009,P:1226,24/09/2024,14:56,INV,,2
300011,P:1228,21/09/2024,14:31,INV,,5
300012,P:1230,22/09/2024,08:20,INV,,13
300014,P:1333,14/09/2024,08:49,INV,,2
300015,P:1364,27/09/2024,12:59,INV,,10
300018,P:1366,11/09/2024,13:39,INV,,4
300019,P:1389,08/09/2024,13:09,INV,,2
300020,P:1389,08/09/2024,14:56,INV,,7
300025,P:1449,19/09/2024,11:48,INV,,4
300026,P:1458,10/09/2024,18:18,INV,,11
300028,P:1469,28/09/2024,08:24,INV,,7
300029,P:1469,04/09/2024,08:23,INV,,7
300030,P:1481,25/09/2024,12:49,INV,,3
300031,P:1481,01/09/2024,12:18,INV,,11
300033,P:1511,17/09/2024,14:32,INV,,13
300035,P:1535,26/09/2024,16:19,INV,,6
300036,P:1547,21/09/2024,14:58,INV,,4
300037,P:1552,23/09/2024,08:05,INV,,10
300039,P:1564,13/09/2024,16:53,INV,,8
300040,P:1583,10/09/2024,10:19,INV,,8
300041,P:1584,01/09/2024,11:18,INV,,3
300042,P:1584,03/09/2024,08:38,INV,,4
300043,P:1584,26/09/2024,12:49,INV,,4
300048,P:1641,23/09/2024,11:22,INV,,3
300049,P:1691,11/09/2024,15:47,INV,,9
300052,P:1708,04/09/2024,18:15,INV,,12
300055,P:1846,06/09/2024,18:56,INV,,4
300056,P:1846,08/09/2024,08:48,INV,,4
300057,P:1856,04/09/2024,14:49,INV,,6
300062,P:1956,12/09/2024,14:24,INV,,6
300065,P:2024,11/09/2024,08:46,INV,,7
300066,P:2024,09/09/2024,13:23,INV,,4
300069,P:2026,16/09/2024,11:56,INV,,5
300072,P:2090,19/09/2024,14:04,INV,,9
300073,P:2090,22/09/2024,09:31,INV,,15
300074,P:2094,28/09/2024,16:19,INV,,5
300075,P:2094,22/09/2024,08:38,INV,,3
300076,P:2094,15/09/2024,15:02,INV,,13
300077,P:2110,09/09/2024,18:43,INV,,7
300078,P:2118,13/09/2024,08:10,INV,,12
300079,P:2138,28/09/2024,14:18,INV,,10
300080,P:2144,12/09/2024,10:59,INV,,4
300081,P:2144,01/09/2024,10:30,INV,,8
300082,P:2144,13/09/2024,09:55,INV,,7
300083,P:2152,22/09/2024,12:05,INV,,4
300084,P:2229,17/09/2024,09:43,INV,,4
300092,P:2289,01/09/2024,08:57,INV,,14
300093,P:2327,15/09/2024,10:43,INV,,9
300094,P:2333,20/09/2024,13:30,INV,,4
300096,P:2334,08/09/2024,10:31,INV,,6
300099,P:2345,06/09/2024,09:16,INV,,9
300102,P:2399,16/09/2024,13:10,INV,,2
300105,P:2444,26/09/2024,16:42,INV,,5
300112,P:2609,19/09/2024,18:46,INV,,4
300114,P:2656,28/09/2024,11:38,INV,,3
300116,P:2668,08/09/2024,18:01,INV,,10
300117,P:2671,03/09/2024,09:44,INV,,6
300118,P:2678,16/09/2024,12:01,INV,,8
300119,P:2678,15/09/2024,14:28,INV,,6
300121,P:2678,20/09/2024,10:22,INV,,6
300123,P:2683,10/09/2024,12:40,INV,,9
300124,P:2693,17/09/2024,09:47,INV,,12
300128,P:2740,12/09/2024,14:35,INV,,5
300129,P:2740,17/09/2024,09:15,INV,,3
300131,P:2774,10/09/2024,12:34,INV,,4
300135,P:1019,19/10/2024,08:42,INV,,10
300141,P:1079,26/10/2024,14:05,INV,,4
300142,P:1080,17/10/2024,10:53,INV,,9
300143,P:1080,17/10/2024,15:37,INV,,9
300145,P:1115,14/10/2024,10:10,INV,,6
300146,P:1115,18/10/2024,08:31,INV,,8
9300146,P:1115,18/10/2024,13:31,CR,,2
300148,P:1135,09/10/2024,16:58,INV,,9
300149,P:1136,22/10/2024,11:47,INV,,6
300150,P:1136,11/10/2024,16:04,INV,,6
300152,P:1186,22/10/2024,15:52,INV,,6
300153,P:1189,24/10/2024,14:59,INV,,8
300154,P:1200,19/10/2024,14:46,INV,,8
300155,P:1203,19/10/2024,16:12,INV,,6
300160,P:1263,23/10/2024,15:16,INV,,7
300161,P:1263,04/10/2024,14:29,INV,,15
300163,P:1278,15/10/2024,13:15,INV,,6
300164,P:1288,07/10/2024,11:54,INV,,15
300168,P:1323,10/10/2024,14:41,INV,,15
300169,P:1323,12/10/2024,12:21,INV,,2
300171,P:1323,28/10/2024,13:11,INV,,4
300172,P:1326,20/10/2024,17:29,INV,,7
300174,P:1333,17/10/2024,13:49,INV,,7
300175,P:1333,19/10/2024,11:45,INV,,3
300176,P:1348,03/10/2024,11:20,INV,,8
300177,P:1348,07/10/2024,08:54,INV,,6
300178,P:1362,15/10/2024,16:38,INV,,4
300179,P:1362,27/10/2024,10:17,INV,,5
300180,P:1362,05/10/2024,16:10,INV,,6
300183,P:1365,14/10/2024,10:06,INV,,9
300185,P:1383,07/10/2024,08:03,INV,,7
300187,P:1394,02/10/2024,10:03,INV,,4
300189,P:1394,13/10/2024,13:00,INV,,7
300190,P:1394,23/10/2024,13:10,INV,,11
300191,P:1394,21/10/2024,14:23,INV,,8
300192,P:1409,22/10/2024,09:26,INV,,9
300193,P:1433,19/10/2024,14:19,INV,,4
300194,P:1444,01/10/2024,14:18,INV,,7
300195,P:1446,23/10/2024,12:05,INV,,8
300196,P:1449,06/10/2024,12:55,INV,,7
300199,P:1449,01/10/2024,12:22,INV,,3
300200,P:1449,11/10/2024,14:08,INV,,8
300201,P:1462,27/10/2024,16:30,INV,,6
300202,P:1472,26/10/2024,16:36,INV,,9
