area,rep_id,pharmacy_id,priority,ops_note
Smouha,1,1000,1,
Smouha,1,1027,3,
Smouha,1,1051,2,
Smouha,1,1081,2,
Smouha,1,1007,2,
Smouha,1,1135,1,
Smouha,1,1160,3,
Smouha,1,1190,3,
Smouha,1,1214,2,
Smouha,1,1240,3,
Smouha,1,1263,2,
Smouha,1,1434,1,
Smouha,1,1316,3,
Smouha,1,1347,3,
Smouha,1,1378,2,
Smouha,1,1404,2,
Nasr City,2,1440,1,
Nasr City,2,1470,1,
Nasr City,2,1496,2,
Nasr City,2,1526,2,
Nasr City,2,1442,3,
Nasr City,2,1584,3,
Nasr City,2,1612,3,
Nasr City,2,1638,1,
Nasr City,2,1665,3,
Nasr City,2,1693,3,
Nasr City,2,1725,3,
Nasr City,2,1887,3,
Nasr City,2,1779,1,
Nasr City,2,1804,3,
Nasr City,2,1834,2,
Nasr City,2,1859,1,
Faisal,3,1890,2,
Faisal,3,1919,1,
Faisal,3,1949,3,
Faisal,3,1975,3,
Faisal,3,1895,2,
Faisal,3,2031,3,
Faisal,3,2060,2,
Faisal,3,2086,1,
Faisal,3,2110,1,
Faisal,3,2137,3,
Faisal,3,2164,1,
Faisal,3,2333,1,
Faisal,3,2222,3,
Faisal,3,2250,1,
Faisal,3,2279,3,
Faisal,3,2309,2,
Mohandessin,4,2340,2,
Mohandessin,4,2369,2,
Mohandessin,4,2397,3,
Mohandessin,4,2423,3,
Mohandessin,4,2349,1,
Mohandessin,4,2481,1,
Mohandessin,4,2509,1,
Mohandessin,4,2537,3,
Mohandessin,4,2563,2,
Mohandessin,4,2594,2,
Mohandessin,4,2624,2,
Mohandessin,4,2796,3,
Mohandessin,4,2679,2,
Mohandessin,4,2708,2,
Mohandessin,4,2740,3,
Mohandessin,4,2767,3,
